bucket_start_bps,bucket_end_bps,count
-1180,-1170,1
-30,-20,1
-20,-10,1
-10,0,6
0,10,37
10,20,51
20,30,14
30,40,3
40,50,3
50,60,3
60,70,2
70,80,2
