bucket_start_bps,bucket_end_bps,count
-410,-400,1
-360,-350,1
-320,-310,1
-290,-280,1
-250,-240,1
-240,-230,3
-230,-220,1
-220,-210,2
-210,-200,1
-200,-190,1
-190,-180,1
-170,-160,2
-160,-150,4
-150,-140,2
-140,-130,3
-130,-120,2
-120,-110,6
-110,-100,5
-100,-90,7
-90,-80,4
-80,-70,7
-70,-60,10
-60,-50,22
-50,-40,23
-40,-30,31
-30,-20,62
-20,-10,111
-10,0,396
0,10,670
10,20,285
20,30,129
30,40,91
40,50,56
50,60,60
60,70,44
70,80,44
80,90,186
90,100,648
100,110,1165
110,120,433
120,130,144
130,140,70
140,150,34
150,160,18
160,170,13
170,180,8
180,190,9
190,200,4
200,210,5
210,220,2
220,230,1
240,250,1
250,260,1
260,270,1
270,280,2
280,290,2
290,300,2
300,310,2
310,320,2
320,330,1
330,340,1
350,360,3
370,380,1
380,390,1
390,400,1
400,410,1
410,420,3
420,430,1
490,500,1
500,510,1
550,560,2
560,570,3
570,580,4
580,590,1
1220,1230,1
1350,1360,1
