bucket_start_bps,bucket_end_bps,count
-190,-180,1
-170,-160,1
-100,-90,2
-80,-70,2
-70,-60,2
-60,-50,5
-50,-40,5
-40,-30,17
-30,-20,27
-20,-10,82
-10,0,344
0,10,946
10,20,364
20,30,188
30,40,108
40,50,76
50,60,33
60,70,26
70,80,22
80,90,20
90,100,7
100,110,8
110,120,9
130,140,3
140,150,1
150,160,4
160,170,3
170,180,1
180,190,6
190,200,2
200,210,3
210,220,2
220,230,3
230,240,1
240,250,2
250,260,2
260,270,1
270,280,2
300,310,2
330,340,1
350,360,2
360,370,1
370,380,3
380,390,1
400,410,1
430,440,1
440,450,1
450,460,1
470,480,1
480,490,1
570,580,1
590,600,2
630,640,1
660,670,1
670,680,1
710,720,1
790,800,1
820,830,1
900,910,1
940,950,1
1030,1040,1
1050,1060,1
1090,1100,1
1120,1130,1
1180,1190,1
1250,1260,1
1490,1500,1
1660,1670,1
1680,1690,1
1880,1890,1
1940,1950,1
2210,2220,1
2560,2570,1
